,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Rash,,,,,Timid,,,,,Timid,,,,,Jolly,,,,,Modest,,,
,,,,Striker,,,,,Adaptability,,,,,Magic Guard,,,,,Sage Power,,,,,Intimidate,,,,,Torrent,,,
,,,,Black Belt,,,,,Eevium Z,,,,,Life Orb,,,,,Charcoal,,,,,Poison Barb,,,,,Eviolite,,,
,,,,Bullet Punch,,,,,Last Resort,,,,,Charge Beam,,,,,Incinerate,,,,,Poison Jab,,,,,Shell Smash,,,
,,,,Knock Off,,,,,Round,,,,,Draining Kiss,,,,,Grass Knot,,,,,Sucker Punch,,,,,Water Pulse,,,
,,,,Fake Out,,,,,Double Kick,,,,,Icy Wind,,,,,HP Rock,,,,,Crunch,,,,,Icy Wind,,,
,,,,Low Sweep,,,,,Bite,,,,,Mystical Fire,,,,,Sleep Talk,,,,,Thunder Fang,,,,,HP Electric,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,
,,,,HP,50,,,,HP,55,,,,HP,95,,,,HP,75,,,,HP,75,,,,HP,59,,
,,,,ATK,120,,,,ATK,55,,,,ATK,70,,,,ATK,98,,,,ATK,95,,,,ATK,63,,
,,,,DEF,53,,,,DEF,50,,,,DEF,73,,,,DEF,63,,,,DEF,75,,,,DEF,80,,
,,,,SPA,35,,,,SPA,45,,,,SPA,95,,,,SPA,98,,,,SPA,65,,,,SPA,65,,
,,,,SPD,110,,,,SPD,65,,,,SPD,90,,,,SPD,63,,,,SPD,79,,,,SPD,80,,
,,IF YOU'RE,,SPE,87,,,,SPE,55,,,,SPE,60,,,,SPE,101,,,,SPE,80,,,,SPE,58,,
,,LEVEL 28 ->>,,SPEED STAT:,,,66,,SPEED STAT:,,,41,,SPEED STAT:,,,49,,SPEED STAT:,,,73,,SPEED STAT:,,,63,,SPEED STAT:,,,46
,,,,,,,,,EVOBOOST:,,,82,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) IF RIVAL HAS CHARMANDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"CERULEAN CITY
RIVAL",,Hitmontop,,,,,Clefable,,,,,Simisage,,,,,Arbok,,,,,Eevee,,,,,Charmeleon,,,
,,,,Highest Lv -1,,,,,Highest Lv -1,,,,,Highest Lv -1,,,,,Highest Lv,,,,,Highest Lv -2,,,,,Highest Lv,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Timid,,,,,Timid,,,,,Jolly,,,,,Lonely,,,,,Jolly,,,
,,,,Technician,,,,,Magic Guard,,,,,Sage Power,,,,,Intimidate,,,,,Adaptability,,,,,Blaze,,,
,,,,Black Belt,,,,,Life Orb,,,,,Miracle Seed,,,,,Poison Barb,,,,,Eevium Z,,,,,Eviolite,,,
,,,,Fake Out,,,,,Charge Beam,,,,,Mega Drain,,,,,Poison Jab,,,,,Last Resort,,,,,Dragon Dance,,,
,,,,Bullet Punch,,,,,Draining Kiss,,,,,HP Fire,,,,,Sucker Punch,,,,,Round,,,,,Fire Punch,,,
,,,,Rock Smash,,,,,Icy Wind,,,,,Power Gem,,,,,Crunch,,,,,Double Kick,,,,,Thunder Punch,,,
,,,,Thief,,,,,Mystical Fire,,,,,Sleep Talk,,,,,Thunder Fang,,,,,Bite,,,,,Brick Break,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,
,,,,HP,50,,,,HP,95,,,,HP,75,,,,HP,75,,,,HP,55,,,,HP,58,,
,,,,ATK,95,,,,ATK,70,,,,ATK,98,,,,ATK,95,,,,ATK,55,,,,ATK,64,,
,,,,DEF,95,,,,DEF,73,,,,DEF,63,,,,DEF,75,,,,DEF,50,,,,DEF,58,,
,,,,SPA,35,,,,SPA,95,,,,SPA,98,,,,SPA,65,,,,SPA,45,,,,SPA,80,,
,,,,SPD,110,,,,SPD,90,,,,SPD,63,,,,SPD,79,,,,SPD,65,,,,SPD,65,,
,,IF YOU'RE,,SPE,70,,,,SPE,60,,,,SPE,101,,,,SPE,80,,,,SPE,55,,,,SPE,80,,
,,LEVEL 28 ->>,,SPEED STAT:,,,56,,SPEED STAT:,,,49,,SPEED STAT:,,,73,,SPEED STAT:,,,63,,SPEED STAT:,,,41,,SPEED STAT:,,,63
,,,,,,,,,,,,,,,,,,,,,,,,EVOBOOST:,,,82,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) IF RIVAL HAS BULBASAUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"CERULEAN CITY
RIVAL",,Hitmonchan,,,,,Clefable,,,,,Simipour,,,,,Arbok,,,,,Eevee,,,,,Ivysaur,,,
,,,,Highest Lv -1,,,,,Highest Lv -1,,,,,Highest Lv -1,,,,,Highest Lv,,,,,Highest Lv -2,,,,,Highest Lv,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Timid,,,,,Timid,,,,,Jolly,,,,,Lonely,,,,,Timid,,,
,,,,Iron Fist,,,,,Magic Guard,,,,,Sage Power,,,,,Intimidate,,,,,Adaptability,,,,,Overgrow,,,
,,,,Black Belt,,,,,Life Orb,,,,,Mystic Water,,,,,Poison Barb,,,,,Eevium Z,,,,,Eviolite,,,
,,,,Drain Punch,,,,,Charge Beam,,,,,Water Pulse,,,,,Poison Jab,,,,,Last Resort,,,,,Leech Seed,,,
,,,,Ice Punch,,,,,Draining Kiss,,,,,Icy Wind,,,,,Sucker Punch,,,,,Round,,,,,Protect,,,
,,,,Mach Punch,,,,,Icy Wind,,,,,HP Electric,,,,,Crunch,,,,,Double Kick,,,,,Sludge,,,
,,,,Sucker Punch,,,,,Mystical Fire,,,,,Grass Knot,,,,,Thunder Fang,,,,,Bite,,,,,Giga Drain,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,
,,,,HP,50,,,,HP,95,,,,HP,75,,,,HP,75,,,,HP,55,,,,HP,60,,
,,,,ATK,115,,,,ATK,70,,,,ATK,98,,,,ATK,95,,,,ATK,55,,,,ATK,62,,
,,,,DEF,79,,,,DEF,73,,,,DEF,63,,,,DEF,75,,,,DEF,50,,,,DEF,63,,
,,,,SPA,35,,,,SPA,95,,,,SPA,98,,,,SPA,65,,,,SPA,45,,,,SPA,80,,
,,,,SPD,110,,,,SPD,90,,,,SPD,63,,,,SPD,79,,,,SPD,65,,,,SPD,80,,
,,IF YOU'RE,,SPE,76,,,,SPE,60,,,,SPE,101,,,,SPE,80,,,,SPE,55,,,,SPE,60,,
,,LEVEL 28 ->>,,SPEED STAT:,,,59,,SPEED STAT:,,,49,,SPEED STAT:,,,73,,SPEED STAT:,,,63,,SPEED STAT:,,,41,,SPEED STAT:,,,51
,,,,,,,,,,,,,,,,,,,,,,,,EVOBOOST:,,,82,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"S.S. ANNE
BRENDAN",,Crawdaunt,,,,,Slaking,,,,,Plusle,,,,,Gardevoir,,,,,Sceptile,,,,,Hariyama,,,
,,,,Player Max Level,,,,,Player Max Level,,,,,Player Max Level,,,,,Player Max Level,,,,,Player Max Level,,,,,Player Max Level,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Adamant,,,,,Jolly,,,,,Timid,,,,,Timid,,,,,Jolly,,,,,Adamant,,,
,,,,Adaptability,,,,,Truant,,,,,Transistor,,,,,Trace,,,,,Overgrow,,,,,Guts,,,
,,,,Focus Sash,,,,,Leftovers,,,,,Magnet,,,,,Leftovers,,,,,Life Orb,,,,,Flame Orb,,,
,,,,Aqua Jet,,,,,Body Slam,,,,,Volt Switch,,,,,Psychic,,,,,Swords Dance,,,,,Drain Punch,,,
,,,,Liquidation,,,,,Knock Off,,,,,Grass Knot,,,,,Calm Mind,,,,,Leaf Blade,,,,,Bullet Punch,,,
,,,,Knock Off,,,,,Brick Break,,,,,Surf,,,,,Moonblast,,,,,Drain Punch,,,,,Knock Off,,,
,,,,X-Scissor,,,,,Slack Off,,,,,HP Ice,,,,,Mystical Fire,,,,,Rock Slide,,,,,Fake Out,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,
,,,,HP,63,,,,HP,150,,,,HP,60,,,,HP,68,,,,HP,70,,,,HP,144,,
,,,,ATK,120,,,,ATK,160,,,,ATK,50,,,,ATK,65,,,,ATK,105,,,,ATK,120,,
,,,,DEF,85,,,,DEF,100,,,,DEF,40,,,,DEF,65,,,,DEF,65,,,,DEF,60,,
,,,,SPA,90,,,,SPA,95,,,,SPA,85,,,,SPA,125,,,,SPA,85,,,,SPA,40,,
,,,,SPD,55,,,,SPD,65,,,,SPD,75,,,,SPD,115,,,,SPD,85,,,,SPD,60,,
,,IF YOU'RE,,SPE,55,,,,SPE,100,,,,SPE,110,,,,SPE,80,,,,SPE,120,,,,SPE,50,,
,,LEVEL 28 ->>,,SPEED STAT:,,,44,,SPEED STAT:,,,75,,SPEED STAT:,,,82,,SPEED STAT:,,,63,,SPEED STAT:,,,88,,SPEED STAT:,,,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) IF RIVAL HAS SQUIRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"SILPH CO.
RIVAL",,Azelf,,,,,Celesteela,,,,,Electivire,,,,,Jumpluff,,,,,Darmanitan,,,,,Blastoise-Mega,,,
,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Naive,,,,,Modest,,,,,Jolly,,,,,Jolly,,,,,Jolly,,,,,Modest,,,
,,,,Levitate,,,,,Beast Boost,,,,,Iron Fist,,,,,Aerilate,,,,,Sheer Force,,,,,"Torrent
Mega Launcher (Mega)",,,
,,,,Focus Sash,,,,,Weakness Pol.,,,,,Electirizer,,,,,Sharp Beak,,,,,Life Orb,,,,,Blastoisinite,,,
,,,,Stealth Rock,,,,,Autotomize,,,,,Mach Punch,,,,,Spore,,,,,Flare Blitz,,,,,Shell Smash,,,
,,,,Explosion,,,,,Air Slash,,,,,Plasma Fists,,,,,Double-Edge,,,,,Rock Slide,,,,,Water Pulse,,,
,,,,Flamethrower,,,,,Flamethrower,,,,,Close Combat,,,,,Leaf Blade,,,,,U-Turn,,,,,Dark Pulse,,,
,,,,Psychic,,,,,Giga Drain,,,,,Ice Punch,,,,,Swords Dance,,,,,Earthquake,,,,,Aura Sphere,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,
,,,,HP,75,,,,HP,97,,,,HP,75,,,,HP,75,,,,HP,105,,,,HP,79,,
,,,,ATK,125,,,,ATK,101,,,,ATK,123,,,,ATK,85,,,,ATK,140,,,,ATK,103,,
,,,,DEF,70,,,,DEF,103,,,,DEF,67,,,,DEF,70,,,,DEF,55,,,,DEF,120,,
,,,,SPA,125,,,,SPA,107,,,,SPA,95,,,,SPA,35,,,,SPA,30,,,,SPA,135,,
,,,,SPD,70,,,,SPD,101,,,,SPD,85,,,,SPD,95,,,,SPD,55,,,,SPD,115,,
,,IF YOU'RE,,SPE,115,,,,SPE,61,,,,SPE,95,,,,SPE,110,,,,SPE,95,,,,SPE,78,,
,,LEVEL 56 ->>,,SPEED STAT:,,,166,,SPEED STAT:,,,90,,SPEED STAT:,,,140,,SPEED STAT:,,,159,,SPEED STAT:,,,140,,SPEED STAT:,,,109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) IF RIVAL HAS CHARMANDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"SILPH CO.
RIVAL",,Azelf,,,,,Jumpluff,,,,,Celesteela,,,,,Electivire,,,,,Gorebyss,,,,,Charizard-MegaX,,,
,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Naive,,,,,Jolly,,,,,Modest,,,,,Jolly,,,,,Timid,,,,,Jolly,,,
,,,,Levitate,,,,,Aerilate,,,,,Beast Boost,,,,,Iron Fist,,,,,Dazzling,,,,,"Solar Power
Tough Claws (Mega)",,,
,,,,Focus Sash,,,,,Sharp Beak,,,,,Weakness Pol.,,,,,Electirizer,,,,,White Herb,,,,,Charizardite X,,,
,,,,Stealth Rock,,,,,Spore,,,,,Autotomize,,,,,Mach Punch,,,,,Shell Smash,,,,,Dragon Dance,,,
,,,,Explosion,,,,,Double-Edge,,,,,Air Slash,,,,,Plasma Fists,,,,,Surf,,,,,Dragon Claw,,,
,,,,Flamethrower,,,,,Leaf Blade,,,,,Flamethrower,,,,,Close Combat,,,,,Moonblast,,,,,Flare Blitz,,,
,,,,Psychic,,,,,Swords Dance,,,,,Giga Drain,,,,,Ice Punch,,,,,Psychic,,,,,Earthquake,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,
,,,,HP,75,,,,HP,75,,,,HP,97,,,,HP,75,,,,HP,55,,,,HP,78,,
,,,,ATK,125,,,,ATK,85,,,,ATK,101,,,,ATK,123,,,,ATK,84,,,,ATK,130,,
,,,,DEF,70,,,,DEF,70,,,,DEF,103,,,,DEF,67,,,,DEF,105,,,,DEF,111,,
,,,,SPA,125,,,,SPA,35,,,,SPA,107,,,,SPA,95,,,,SPA,104,,,,SPA,130,,
,,,,SPD,70,,,,SPD,95,,,,SPD,101,,,,SPD,85,,,,SPD,75,,,,SPD,85,,
,,IF YOU'RE,,SPE,115,,,,SPE,110,,,,SPE,61,,,,SPE,95,,,,SPE,52,,,,SPE,100,,
,,LEVEL 56 ->>,,SPEED STAT:,,,166,,SPEED STAT:,,,159,,SPEED STAT:,,,90,,SPEED STAT:,,,140,,SPEED STAT:,,,88,,SPEED STAT:,,,147
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) IF RIVAL HAS BULBASAUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"SILPH CO.
RIVAL",,Azelf,,,,,Celesteela,,,,,Electivire,,,,,Gorebyss,,,,,Darmanitan,,,,,Venusaur-Mega,,,
,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Naive,,,,,Modest,,,,,Jolly,,,,,Timid,,,,,Jolly,,,,,Timid,,,
,,,,Levitate,,,,,Beast Boost,,,,,Iron Fist,,,,,Dazzling,,,,,Sheer Force,,,,,"Overgrow
Thick Fat (Mega)",,,
,,,,Focus Sash,,,,,Weakness Pol.,,,,,Electirizer,,,,,White Herb,,,,,Life Orb,,,,,Venusaurite,,,
,,,,Stealth Rock,,,,,Autotomize,,,,,Mach Punch,,,,,Shell Smash,,,,,Flare Blitz,,,,,Sleep Powder,,,
,,,,Explosion,,,,,Air Slash,,,,,Plasma Fists,,,,,Surf,,,,,Rock Slide,,,,,Giga Drain,,,
,,,,Flamethrower,,,,,Flamethrower,,,,,Close Combat,,,,,Moonblast,,,,,U-Turn,,,,,Sludge Bomb,,,
,,,,Psychic,,,,,Giga Drain,,,,,Ice Punch,,,,,Psychic,,,,,Earthquake,,,,,Earth Power,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,
,,,,HP,75,,,,HP,97,,,,HP,75,,,,HP,55,,,,HP,105,,,,HP,80,,
